ts,activity,id,tag
60.810073,4,36,s
61.523445,2,45,f
61.523445,2,46,s
61.634593,5,35,f
62.052397,1,52,f
62.052397,1,53,s
62.395105,6,28,f
62.395105,6,29,s
62.448391,2,46,f
62.448391,2,47,s
62.518931,2,47,f
62.518931,2,48,s
62.650852,2,48,f
62.650852,2,49,s
62.812591,3,39,f
62.812591,3,40,s
62.985858,3,40,f
62.985858,3,41,s
63.170006,6,29,f
63.170006,6,30,s
63.207015,1,53,f
63.448406,6,30,f
63.448406,6,31,s
63.514943,4,36,f
63.514943,5,36,s
63.514943,4,37,s
63.776487,1,54,s
64.308588,1,54,f
64.393568,5,36,f
64.453578,1,55,s
64.472985,1,55,f
64.77543,6,31,f
64.77543,6,32,s
65.138587,3,41,f
65.138587,3,42,s
65.229131,4,37,f
65.229131,5,37,s
65.229131,4,38,s
65.258788,6,32,f
65.258788,6,33,s
65.28061,3,42,f
65.28061,3,43,s
65.36268,5,37,f
65.454915,4,38,f
65.454915,5,38,s
65.454915,4,39,s
65.480112,2,49,f
65.480112,2,50,s
65.894894,6,33,f
65.894894,6,34,s
66.02972,4,39,f
66.02972,4,40,s
66.120517,3,43,f
66.120517,3,44,s
66.819649,1,56,s
66.938712,4,40,f
66.938712,4,41,s
66.954557,3,44,f
66.954557,3,45,s
67.072657,6,34,f
67.072657,6,35,s
67.148273,1,56,f
67.260441,2,50,f
67.260441,2,51,s
67.28766,3,45,f
67.28766,3,46,s
67.35399,3,46,f
67.35399,3,47,s
67.393425,5,38,f
67.393425,5,39,s
67.444876,2,51,f
67.444876,2,52,s
67.615186,3,47,f
67.615186,3,48,s
68.031561,1,57,s
68.033232,5,39,f
68.033232,5,40,s
68.698907,5,40,f
69.105092,4,41,f
69.105092,5,41,s
69.105092,4,42,s
69.126555,2,52,f
69.126555,2,53,s
69.14702,1,57,f
69.171715,6,35,f
69.171715,6,36,s
69.283882,5,41,f
69.700587,3,48,f
69.700587,3,49,s
70.19513,3,49,f
70.19513,3,50,s
70.3551,6,36,f
70.3551,6,37,s
70.649493,4,42,f
70.649493,5,42,s
70.649493,4,43,s
70.852377,1,58,s
70.939529,5,42,f
71.270284,6,37,f
71.270284,6,38,s
71.35742,6,38,f
71.35742,6,39,s
71.46129,1,58,f
71.46129,1,59,s
71.821823,1,59,f
72.156308,6,39,f
72.156308,6,40,s
72.193444,6,40,f
72.193444,6,41,s
72.311849,4,43,f
72.311849,5,43,s
72.311849,4,44,s
72.41733,2,53,f
72.41733,2,54,s
72.470831,6,41,f
72.470831,6,42,s
72.58208,3,50,f
72.58208,3,51,s
72.670966,5,43,f
72.97963,3,51,f
72.97963,3,52,s
73.01798,1,60,s
73.201743,4,44,f
73.201743,5,44,s
73.201743,4,45,s
73.238644,4,45,f
73.238644,4,46,s
73.693688,2,54,f
73.693688,2,55,s
73.798099,5,44,f
73.798099,5,45,s
73.817083,1,60,f
73.817083,1,61,s
73.842646,3,52,f
73.842646,3,53,s
73.865493,1,61,f
73.888158,4,46,f
73.888158,4,47,s
74.084283,2,55,f
74.084283,2,56,s
74.143748,3,53,f
74.143748,3,54,s
74.27178,6,42,f
74.27178,6,43,s
74.286494,4,47,f
74.286494,4,48,s
74.319139,1,62,s
74.325895,2,56,f
74.325895,2,57,s
74.489964,2,57,f
74.489964,2,58,s
74.932118,4,48,f
74.932118,4,49,s
75.010735,1,62,f
75.246886,6,43,f
75.246886,6,44,s
75.379364,6,44,f
75.397052,5,45,f
75.397052,6,45,s
75.397052,5,46,s
75.716935,1,63,s
75.863071,5,46,f
75.863071,5,47,s
76.118754,1,63,f
76.135316,1,64,s
76.556126,6,45,f
76.556126,6,46,s
76.59233,3,54,f
76.59233,3,55,s
76.593103,2,58,f
76.593103,2,59,s
76.656147,3,55,f
76.656147,3,56,s
76.761057,5,47,f
76.761057,5,48,s
76.864373,1,64,f
76.869732,2,59,f
76.869732,2,60,s
77.044181,6,46,f
77.044181,6,47,s
77.148745,4,49,f
77.148745,4,50,s
77.360962,2,60,f
77.360962,2,61,s
77.640198,6,47,f
77.783069,3,56,f
77.783069,3,57,s
78.085003,4,50,f
78.085003,4,51,s
78.116982,2,61,f
78.116982,2,62,s
78.273256,3,57,f
78.273256,3,58,s
78.573433,3,58,f
78.573433,3,59,s
78.623302,3,59,f
78.623302,3,60,s
78.726221,2,62,f
78.726221,2,63,s
79.147856,2,63,f
79.147856,2,64,s
79.308544,1,65,s
79.316751,5,48,f
79.316751,6,48,s
79.316751,5,49,s
79.520245,3,60,f
79.520245,3,61,s
79.525381,5,49,f
79.525381,5,50,s
79.525494,3,61,f
79.525494,3,62,s
79.57468,3,62,f
79.984745,2,64,f
80.161048,6,48,f
80.161048,6,49,s
81.486237,1,65,f
81.486237,1,66,s
81.486237,2,65,s
81.627226,5,50,f
81.664827,4,51,f
81.664827,5,51,s
81.664827,4,52,s
81.664827,3,63,s
81.703743,6,49,f
