id,activity,ts
8470,5,2832.9
8477,4,2833
8480,1,2833
8477,5,2833
8473,3,2833.5
8481,1,2833.5
8473,5,2833.5
8478,4,2833.6
8482,1,2833.6
8478,5,2833.7
8471,2,2833.7
8483,1,2833.7
8471,5,2833.8
8480,4,2834.3
8484,1,2834.3
8480,5,2834.3
8479,3,2834.5
8485,1,2834.5
8479,5,2834.5
8482,4,2834.8
8486,1,2834.8
8484,4,2834.8
8482,5,2834.9
8487,1,2834.9
8484,5,2834.9
8486,4,2835.2
8488,1,2835.2
8486,5,2835.3
8475,2,2835.8
8489,1,2835.8
8475,5,2835.8
8483,2,2835.9
8490,1,2835.9
8483,5,2835.9
8489,2,2835.9
8491,1,2835.9
8489,5,2835.9
8490,2,2836
8492,1,2836
8490,5,2836
8491,2,2836
8493,1,2836
8491,5,2836.1
8492,2,2836.1
8494,1,2836.1
8492,5,2836.1
8493,2,2836.2
8495,1,2836.2
8493,5,2836.2
8494,2,2836.2
8496,1,2836.2
8494,5,2836.3
8495,2,2836.3
8497,1,2836.3
8487,4,2836.3
8498,1,2836.3
8495,5,2836.3
8487,5,2836.4
8496,2,2836.4
8499,1,2836.4
8481,3,2836.4
8500,1,2836.4
8496,5,2836.4
8497,2,2836.4
8481,5,2836.4
8497,5,2836.5
8501,1,2836.5
8499,2,2836.5
8485,3,2836.5
8499,5,2836.5
8501,2,2836.6
8485,5,2836.6
8502,1,2836.6
8501,5,2836.6
8503,1,2836.6
8504,1,2836.6
8503,2,2836.7
8503,5,2836.7
8505,1,2836.7
8504,2,2836.7
8506,1,2836.7
8504,5,2836.8
8505,2,2836.8
8507,1,2836.8
8505,5,2836.8
8506,2,2836.9
8508,1,2836.9
8506,5,2836.9
8507,2,2836.9
8509,1,2836.9
8507,5,2837
8508,2,2837
8510,1,2837
8508,5,2837
8509,2,2837
8511,1,2837
8509,5,2837.1
8510,2,2837.1
8512,1,2837.1
8510,5,2837.1
8488,4,2837.9
8513,1,2837.9
8488,5,2837.9
8511,2,2838.8
8514,1,2838.8
8511,5,2838.8
8500,3,2839
8515,1,2839
8500,5,2839.1
8502,3,2839.3
8516,1,2839.3
8498,4,2839.3
8517,1,2839.3
8502,5,2839.3
8515,3,2839.4
8498,5,2839.4
8515,5,2839.4
8518,1,2839.4
8513,4,2840.3
8519,1,2840.3
8513,5,2840.4
8516,3,2840.5
8520,1,2840.5
8516,5,2840.6
8512,2,2840.8
8521,1,2840.8
8512,5,2840.8
8517,4,2841.2
8522,1,2841.2
8517,5,2841.2
8518,3,2842.4
8523,1,2842.4
8518,5,2842.4
8514,2,2843
8524,1,2843
8514,5,2843
8520,3,2843.4
8525,1,2843.4
8520,5,2843.5
8521,2,2844.9
8526,1,2844.9
8521,5,2845
8523,3,2845.9
8527,1,2845.9
8523,5,2846
8519,4,2846.3
8528,1,2846.3
8519,5,2846.3
8522,4,2846.6
8529,1,2846.6
8522,5,2846.6
8528,4,2846.8
8530,1,2846.8
8525,3,2846.8
8531,1,2846.8
8528,5,2846.8
8525,5,2846.9
8527,3,2846.9
8532,1,2846.9
8527,5,2847
8524,2,2847.1
8533,1,2847.1
8524,5,2847.1
8531,3,2847.7
8534,1,2847.7
8531,5,2847.7
8529,4,2848.2
8535,1,2848.2
8529,5,2848.2
8526,2,2848.8
8536,1,2848.8
8526,5,2848.9
8530,4,2849.5
8537,1,2849.5
8530,5,2849.5
8535,4,2849.7
