id,ts,activity
68601,2,996
68610,3,996
68622,4,996
68631,5,996
68641,6,996
68650,7,996
68661,8,996
68671,9,996
68682,10,996
68693,11,996
68702,12,996
68711,13,996
68722,14,996
68732,15,996
68742,16,996
68753,17,996
68762,18,996
68771,19,996
68782,20,996
68792,21,996
68801,22,996
68811,23,996
68822,24,996
68833,25,996
68843,26,996
68852,27,996
68863,28,996
68872,29,996
68882,30,996
68892,31,996
68901,32,996
68912,33,996
68922,34,996
68930,35,996
68940,36,996
68950,37,996
68961,38,996
68971,39,996
68982,40,996
68993,41,996
69003,42,996
69012,43,996
69023,44,996
69033,45,996
69044,46,996
69054,47,996
69065,48,996
69076,49,996
69086,50,996
69097,51,996
69107,52,996
69118,53,996
69129,54,996
69137,55,996
69146,56,996
69157,57,996
69167,58,996
69179,59,996
69189,60,996
68586,1,995
68595,2,995
68605,3,995
68616,4,995
68626,5,995
68636,6,995
68645,7,995
68654,8,995
68666,9,995
68676,10,995
68687,11,995
68697,12,995
68706,13,995
68716,14,995
68727,15,995
68737,16,995
68747,17,995
68757,18,995
68766,19,995
68777,20,995
68786,21,995
68796,22,995
68806,23,995
68817,24,995
68828,25,995
68837,26,995
68847,27,995
68857,28,995
68867,29,995
68876,30,995
68887,31,995
68896,32,995
68906,33,995
68916,34,995
68926,35,995
68935,36,995
68944,37,995
68956,38,995
68965,39,995
68977,40,995
68987,41,995
68997,42,995
69007,43,995
69017,44,995
69028,45,995
69038,46,995
69048,47,995
69059,48,995
69070,49,995
69081,50,995
69090,51,995
69101,52,995
69112,53,995
69123,54,995
69133,55,995
69141,56,995
69151,57,995
69161,58,995
69173,59,995
69184,60,995
68606,1,994
68617,2,994
68625,3,994
68639,4,994
68647,5,994
68657,6,994
68663,7,994
68677,8,994
68684,9,994
68698,10,994
68709,11,994
68720,12,994
68728,13,994
68739,14,994
68751,15,994
68758,16,994
68768,17,994
68780,18,994
68790,19,994
68799,20,994
68807,21,994
68819,22,994
68825,23,994
68838,24,994
68850,25,994
68857,26,994
68866,27,994
68876,28,994
68887,29,994
68896,30,994
68909,31,994
68921,32,994
68928,33,994
68940,34,994
68946,35,994
68953,36,994
68966,37,994
68977,38,994
68988,39,994
69000,40,994
69012,41,994
69019,42,994
69030,43,994
69041,44,994
69048,45,994
69059,46,994
69066,47,994
69078,48,994
69091,49,994
69102,50,994
69114,51,994
69121,52,994
69133,53,994
69146,54,994
69157,55,994
69166,56,994
69174,57,994
69183,58,994
69193,59,994
69211,60,994
68596,1,993
68606,2,993
68618,3,993
68627,4,993
68639,5,993
68647,6,993
68657,7,993
68666,8,993
68677,9,993
68688,10,993
68698,11,993
68709,12,993
68720,13,993
68728,14,993
68739,15,993
68751,16,993
68759,17,993
68768,18,993
68780,19,993
68790,20,993
68799,21,993
68807,22,993
68819,23,993
68828,24,993
68839,25,993
68850,26,993
68858,27,993
68868,28,993
68878,29,993
68887,30,993
68898,31,993
68909,32,993
68921,33,993
68929,34,993
68940,35,993
68946,36,993
68956,37,993
68966,38,993
68977,39,993
68988,40,993
69000,41,993
69012,42,993
69019,43,993
69030,44,993
69041,45,993
69050,46,993
69059,47,993
69071,48,993
69082,49,993
69091,50,993
69102,51,993
69114,52,993
69124,53,993
69134,54,993
69146,55,993
69157,56,993
69166,57,993
69174,58,993
69185,59,993
69201,60,993
68622,1,992
68633,2,992
68640,3,992
68652,4,992
68660,5,992
68668,6,992
68675,7,992
68692,8,992
68700,9,992
68713,10,992
68725,11,992
68733,12,992
68744,13,992
68750,14,992
68767,15,992
68774,16,992
68784,17,992
68794,18,992
68807,19,992
68817,20,992
68825,21,992
68832,22,992
68838,23,992
68854,24,992
68864,25,992
68871,26,992
68878,27,992
68890,28,992
68901,29,992
68910,30,992
68923,31,992
68936,32,992
68942,33,992
68956,34,992
68965,35,992
68977,36,992
68984,37,992
68990,38,992
69001,39,992
69012,40,992
69026,41,992
69033,42,992
69040,43,992
69054,44,992
69065,45,992
69076,46,992
69086,47,992
69094,48,992
69102,49,992
69117,50,992
69125,51,992
69133,52,992
69147,53,992
69158,54,992
69170,55,992
69177,56,992
69186,57,992
69198,58,992
